Sr no,Name,MoneyControl_link,News_link
223,Indian+Overseas+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
224,Indo+Count+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
225,Indraprastha+Gas+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
226,IndusInd+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
227,Infibeam+Incorporation+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
228,Info+Edge+(India)+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
229,Infosys+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
230,Inox+Leisure+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
231,Inox+Wind+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
232,Intellect+Design+Arena+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
233,InterGlobe+Aviation+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
234,Ipca+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
235,IRB+Infrastructure+Developers+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
236,ISGEC+Heavy+Engineering+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
237,ITC+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
238,ITD+Cementation+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
239,J+Kumar+Infraprojects+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
240,J.+K.+Tyre+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
241,J.B.Chemicals+%26+Pharmaceuticals+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
242,J.K.+Cement+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
243,Jagran+Prakashan+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
244,Jai+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
245,Jain+Irrigation+Systems+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
246,Jaiprakash+Associates+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
247,Jammu+%26+Kashmir+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
248,Jamna+Auto+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
249,JBF+Industries+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
250,Jet+Airways+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
251,Jindal+SAW+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
252,Jindal+Stainless+(Hisar)+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
253,Jindal+Stainless+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
254,Jindal+Steel+%26+Power+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
255,JK+Lakshmi+Cement+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
256,JM+Financial+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
257,Johnson+Controls+-Hitachi+Air+Conditioning+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
258,JSW+Energy+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
259,JSW+Steel+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
260,Jubilant+FoodWorks+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
261,Jubilant+Life+Sciences+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
262,Just+Dial+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
263,Jyothy+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
264,Kajaria+Ceramics+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
265,Kalpataru+Power+Transmission+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
266,Kansai+Nerolac+Paints+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
267,Karnataka+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
268,Kaveri+Seed+Co+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
